request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_59,140115.01,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,stop:event_5431,"Use 3 installments of INR 48741.33, starting 7 May 2025. This leaves at least INR 134831.02 available."
request_60,147.21,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This leaves at least ZAR 37610.27 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,47309.16,affordable_with_plan,partial_payment,2026-07-07:47309.16|2026-09-15:296590.84,2026-09-15,none,Pay INR 47309.16 today and the remaining INR 296590.84 on 15 September 2026. This completes the full request and keeps the INR 153500 minimum protected.
request_64,45029.26,not_affordable,not_recommended,none,2024-07-15,none,Do not make this payment by 16 August 2024. None of the available options keeps the INR 36100 minimum protected.
request_65,6328.28,not_affordable,not_recommended,none,,none,Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,389.69,affordable_later,wait,2024-09-15:2094,2024-09-15,none,Pay USD 2094 in full on 15 September 2024. Paying earlier would take the balance below the USD 1200 minimum.
request_68,1339.01,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1540.23 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 700 available over the next 90 days.
request_70,55526.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Pay INR 243900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115000 minimum.
request_71,507653.5,not_affordable,not_recommended,none,,none,Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,16764.33,not_affordable,not_recommended,none,,none,Do not make this payment by 12 June 2026. None of the available options keeps the ZAR 39000 minimum protected.
request_76,829.71,not_affordable,not_recommended,none,2024-08-15,none,Do not make this payment by 30 July 2024. None of the available options keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days.
request_78,46054.39,not_affordable,not_recommended,none,2025-10-15,none,Do not make this payment by 14 October 2025. None of the available options keeps the INR 55200 minimum protected.
request_79,297.96,not_affordable,not_recommended,none,2024-11-15,none,Do not make this payment by 1 November 2024. None of the available options keeps the EUR 1000 minimum protected.
request_80,110424.08,not_affordable,not_recommended,none,,none,Do not make this payment by 21 February 2025. None of the available options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,401.25,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,Pay USD 1405.2 in full on 15 February 2025. Paying earlier would take the balance below the USD 1100 minimum.
request_83,5800.06,not_affordable,not_recommended,none,,none,Do not make this payment by 17 June 2025. None of the available options keeps the INR 37800 minimum protected.
request_84,26664.64,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Pay INR 95400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91300 minimum.
request_85,683483.87,not_affordable,not_recommended,none,,none,Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,21793.81,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the available options keeps the INR 185900 minimum protected.
request_88,11488.26,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This leaves at least ZAR 28243.03 available."
request_89,9359273.81,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4768746.67, starting 18 November 2025. This leaves at least IDR 21893973.81 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,467.16,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,Pay EUR 1927.2 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2100 minimum.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.2 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,13467.91,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2025. None of the available options keeps the INR 145500 minimum protected.
request_96,73382.32,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31269.33, starting 10 January 2026. This leaves at least INR 98612.99 available."
request_97,2016.32,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This leaves at least ZAR 31716.32 available."
request_98,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30000 minimum protected.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This leaves at least ZAR 49100 available over the next 90 days.
request_100,26646.9,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This leaves at least ZAR 46280.71 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 3113.92 available."
request_103,8187.3,not_affordable,not_recommended,none,,none,Do not make this payment by 7 October 2024. None of the available options keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This leaves at least ZAR 24700 available over the next 90 days.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This leaves at least INR 73900 available over the next 90 days.
request_106,417.56,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,Pay EUR 2207.7 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1200 minimum.
request_107,2511.74,not_affordable,not_recommended,none,2025-07-15,none,Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1600 minimum protected.
request_108,3397.08,not_affordable,not_recommended,none,2026-09-15,none,Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24100 minimum protected.
request_109,648.59,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 2348.59 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. This leaves at least ZAR 49634.65 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.7 today. This leaves at least EUR 500 available over the next 90 days.
request_113,26898.27,affordable_later,wait,2026-09-15:36500,2026-09-15,none,Pay INR 36500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82300 minimum.
request_114,65089.62,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,stop:event_10526,"Stop the cloud storage plan, then pay INR 65300 today. This leaves at least INR 113769.62 available."
request_115,14482.99,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Pay INR 80500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38800 minimum.
request_116,10562.25,not_affordable,not_recommended,none,,none,Do not make this payment by 16 April 2025. None of the available options keeps the INR 80300 minimum protected.
request_117,878.67,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10809,"Stop the family streaming plan, then pay EUR 880 today. This leaves at least EUR 1020.67 available."
request_118,685.34,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,stop:event_10883,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 644.98 available."
request_119,55471.23,not_affordable,not_recommended,none,2025-07-15,none,Do not make this payment by 17 July 2025. None of the available options keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. This leaves at least IDR 45371760.35 available."
request_123,2468124.01,not_affordable,not_recommended,none,,none,Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18091200 minimum protected.
request_124,1350.6,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. This leaves at least EUR 1874.48 available."
request_125,0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11300 minimum protected.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,11438.35,affordable_later,wait,2024-10-15:23980,2024-10-15,none,Pay ZAR 23980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41000 minimum.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,105.38,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,422.22,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,Pay USD 1978.8 in full on 15 February 2025. Paying earlier would take the balance below the USD 1400 minimum.
request_131,1152.69,not_affordable,not_recommended,none,2025-06-23,none,Do not make this payment by 8 July 2025. None of the available options keeps the USD 1100 minimum protected.
request_132,318.19,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1100 minimum.
request_133,0,not_affordable,not_recommended,none,,none,Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9986200 minimum protected.
request_134,4569825.76,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Pay IDR 21831000 in full on 15 August 2025. Paying earlier would take the balance below the IDR 15902500 minimum.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.4 today. This leaves at least USD 1100 available over the next 90 days.
request_137,27638.53,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the INR 71800 minimum protected.
request_138,826.63,affordable_with_plan,partial_payment,2026-04-07:826.63|2026-04-15:430.31,2026-04-15,none,Pay EUR 826.63 today and the remaining EUR 430.31 on 15 April 2026. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1318.57,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 2015.69 available."
request_140,1571.18,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21600 minimum protected.
request_141,22646.38,not_affordable,not_recommended,none,,none,Do not make this payment by 12 February 2026. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.6 today. This leaves at least USD 1700 available over the next 90 days.
request_143,3356.63,affordable_later,wait,2025-07-15:12584,2025-07-15,none,Pay ZAR 12584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11300 minimum.
request_144,227.28,affordable_later,wait,2026-07-15:233.34,2026-07-15,none,Pay USD 233.34 in full on 15 July 2026. Paying earlier would take the balance below the USD 600 minimum.
request_145,35208.83,not_affordable,not_recommended,none,2024-05-15,none,Do not make this payment by 26 May 2024. None of the available options keeps the INR 155400 minimum protected.
request_146,10815.41,affordable_later,wait,2025-10-15:449400,2025-10-15,none,Pay INR 449400 in full on 15 October 2025. Paying earlier would take the balance below the INR 108600 minimum.
request_147,509.77,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 1018.14 available."
request_148,8996.89,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7710.56, starting 14 June 2024. This leaves at least ZAR 21286.33 available."
request_149,22922.5,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This leaves at least ZAR 65022.5 available."
request_150,324.38,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13754,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 713.41 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,10947.16,not_affordable,not_recommended,none,2025-04-15,none,Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11900 minimum protected.
request_153,122.12,not_affordable,not_recommended,none,,none,Do not make this payment by 24 September 2026. None of the available options keeps the USD 1400 minimum protected.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 3562.75 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,7668.29,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Pay ZAR 43076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26900 minimum.
request_157,4632460.6,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Pay IDR 23503000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15714100 minimum.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. This leaves at least INR 621070.47 available."
request_159,559.06,not_affordable,not_recommended,none,,none,Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8700 minimum protected.
request_160,560.3,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1328.25 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23010400 minimum protected.
request_162,2108936.47,not_affordable,not_recommended,none,,none,Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24161100 minimum protected.
request_163,11112353.7,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,stop:event_14924,"Use 3 installments of IDR 6692053.33, starting 10 September 2024. This leaves at least IDR 26776230.64 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This leaves at least IDR 30894873.47 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This leaves at least INR 95000 available over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. This leaves at least USD 5985.63 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,39542.55,affordable_with_plan,partial_payment,2026-01-07:39542.55|2026-01-15:9837.45,2026-01-15,stop:event_15332,Pay INR 39542.55 today and the remaining INR 9837.45 on 15 January 2026. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,30966527.74,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12804480, starting 6 August 2025. This leaves at least IDR 25618868.88 available."
request_171,39.99,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,9413.13,affordable_with_plan,partial_payment,2024-06-05:9413.13|2024-06-15:786.87,2024-06-15,none,Pay ZAR 9413.13 today and the remaining ZAR 786.87 on 15 June 2024. This completes the full request and keeps the ZAR 27200 minimum protected.
request_173,0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 January 2026. None of the available options keeps the INR 79100 minimum protected.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 757.74 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.3 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,402.18,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.6 today. This leaves at least USD 1300 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This leaves at least EUR 6069.07 available."
request_179,8763528.06,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Pay IDR 41648000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41430800 minimum.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves at least INR 37300 available over the next 90 days.
request_181,296.58,not_affordable,not_recommended,none,,none,Do not make this payment by 7 April 2024. None of the available options keeps the USD 2000 minimum protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,24014125.33,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This leaves at least IDR 11889428.13 available."
request_184,8959.3,not_affordable,not_recommended,none,,none,Do not make this payment by 30 July 2024. None of the available options keeps the INR 110800 minimum protected.
request_185,365.03,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,Pay EUR 1257.3 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1300 minimum.
request_186,5665.84,affordable_later,wait,2026-03-15:26554,2026-03-15,none,Pay ZAR 26554 in full on 15 March 2026. Paying earlier would take the balance below the ZAR 22000 minimum.
request_187,36119,affordable_later,wait,2024-11-15:187500,2024-11-15,none,Pay INR 187500 in full on 15 November 2024. Paying earlier would take the balance below the INR 128300 minimum.
request_188,118.62,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.4 today. This leaves at least EUR 400 available over the next 90 days.
request_190,624.35,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,Pay EUR 2557.5 in full on 15 December 2024. Paying earlier would take the balance below the EUR 1600 minimum.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.4 today. This leaves at least EUR 500 available over the next 90 days.
request_192,160.16,not_affordable,not_recommended,none,,none,Do not make this payment by 11 May 2026. None of the available options keeps the USD 1000 minimum protected.
request_193,87.56,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1087.56 available."
